feature,shap_mean_abs
ord_count,1117954.094918957
ord_delivered,366044.3201006672
promo_discount_sum,250347.4940296407
Revenue_l1,223488.160770986
ord_cancelled,98846.90332887949
time_idx,93666.22609187014
promo_count,61892.51076941402
COGS_l364,31898.670520720694
Revenue_rmin14,30327.294283136915
wt_sessions,19440.046435855067
COGS_l1,18937.222907139734
cogs_rev_ratio_l365,17577.743405585028
promo_min_order_sum,15755.914646043435
Revenue_ewm7,15569.76613653429
Revenue_rm7,15444.909124368125
wt_pageviews,15294.472135700817
Revenue_l365,13339.602594240901
Revenue_l7,13263.718309824133
Revenue_l2,12966.75799108499
doy_cos,12602.85925201878
Revenue_rmax7,12229.721523724043
Revenue_yoy_ratio,11913.353076933865
doy_sin,11831.567457701103
wt_visitors,11586.157445875366
COGS_l365,11153.419896704328
Revenue_rm365,9597.671093443632
COGS_yoy_ratio,9476.348951888534
Revenue_rmin180,8838.803705906412
ord_cancel_rate,8753.708618715551
cogs_rev_ratio_l28,8644.513860218023
COGS_rm365,8561.264592763073
COGS_l7,8207.230753086844
COGS_rmin180,7921.107345335349
Revenue_rmin7,7641.257992346255
COGS_ewm180,7439.988746170584
Revenue_rs365,7285.552296003539
Revenue_rs28,7231.310947380199
month_cos,7213.997536845258
COGS_l3,7095.583667466411
Revenue_rm14,6815.6778427695
Revenue_rmax28,6780.772514832473
Revenue_l21,6371.832030202704
woy,6346.008053259129
COGS_rs365,6333.576422358347
cogs_rev_ratio_l90,5793.408473960685
Revenue_l14,5683.79950275738
Revenue_l3,5321.394226242097
Revenue_l364,5267.467409862835
COGS_rmin7,5245.212377767114
Revenue_rs7,5170.285240679839
COGS_l14,4880.183594806143
wt_duration,4804.13388989863
COGS_rm7,4705.035373053597
Revenue_l30,4620.805404841003
wt_bounce,4508.407256552034
COGS_ewm7,4379.159515386036
COGS_rmin28,4180.705027831459
COGS_l28,4177.898074063411
COGS_rmin60,4163.001368167366
COGS_l90,4099.810146366911
Revenue_l28,4058.4687787915213
dow_sin,3974.6981608155324
Revenue_l180,3959.4911101002135
COGS_l60,3868.989886574342
COGS_l180,3838.2645363865067
Revenue_rm180,3832.625962558547
COGS_rm180,3773.247936198077
COGS_l2,3687.0499873132867
COGS_rs14,3610.551273688134
COGS_l30,3600.235070644035
Revenue_l90,3450.091430225956
COGS_l21,3337.0216800438557
Revenue_l60,3287.9525913463935
COGS_rmax7,3255.1146125340965
Revenue_ewm180,3172.4800188949903
COGS_rmax14,3033.3723919877075
Revenue_rs180,3003.7617013537106
COGS_rs180,2921.807205282921
COGS_rs7,2915.663794537546
COGS_rmin14,2861.3152898999915
COGS_rm14,2814.3896474476664
Revenue_rs14,2692.146300994363
COGS_ewm14,2680.5919343959786
COGS_rm28,2611.2919608899774
COGS_rs60,2577.737528623983
COGS_rs90,2535.0644309678223
Revenue_rs60,2510.3966125389943
Revenue_rmin28,2386.810799449122
Revenue_rmax60,2351.5912413181786
dow_cos,2320.8936579404703
Revenue_rmin60,2209.8863797279478
Revenue_rmin365,2166.6084769259255
COGS_rs28,2163.173797809532
Revenue_rmax14,2088.2864671329125
Revenue_rmin90,2011.5216408456201
Revenue_rm28,1983.0196084814627
Revenue_rs90,1833.784838774383
Revenue_rm60,1785.9018126006977
Revenue_ewm30,1673.2200337605134
COGS_rmax28,1639.061327254429
Revenue_ewm90,1595.0796453222067
COGS_ewm30,1536.779468999828
COGS_rmin90,1495.774661473529
Revenue_ewm14,1472.382564429729
Revenue_rmax180,1446.3616276763025
COGS_rm60,1403.27820493342
COGS_rmax60,1373.054624216247
COGS_rmax180,1341.4498922385587
promo_stackable,1307.8772843445174
COGS_rmin365,1189.0276801284026
COGS_ewm90,1184.1581891438277
quarter,1177.9431582982709
Revenue_rm90,1107.0865815951965
COGS_rm90,985.4760531292878
month_sin,964.0922695499128
Revenue_rmax365,929.9639881947335
promo_fixed_count,916.2893545534205
promo_pct_count,904.8321155015076
Revenue_rmax90,846.2536665092607
COGS_rmax365,679.1227367170128
COGS_rmax90,652.6145774134308
is_weekend,361.70498596149685
mid_year_sale,325.76335357354975
year_end_sale,285.6492857909144
back_to_school,211.23183574242134
is_month_end,163.39171643319563
tet_period,44.6691642635899
is_month_start,24.769533717028825
summer,0.0
is_year_start,0.0
is_quarter_end,0.0
is_year_end,0.0
